province,date,avg_relative_humidity
Gyeonggi-do,2020-07-05,78.4
Gyeonggi-do,2020-07-06,77.28
Gyeonggi-do,2020-07-07,81.74000000000001
Gyeonggi-do,2020-07-08,80.5
Gyeonggi-do,2020-07-09,74.66
Gyeonggi-do,2020-07-10,81.17999999999999
Gyeonggi-do,2020-07-11,71.67999999999999
Gyeonggi-do,2020-07-12,82.12
Gyeonggi-do,2020-07-13,94.97999999999999
Gyeonggi-do,2020-07-14,81.6
Gyeonggi-do,2020-07-15,78.2
Gyeonggi-do,2020-07-16,80.96
Gyeonggi-do,2020-07-17,83.85999999999999
Gyeonggi-do,2020-07-18,82.66
Gyeonggi-do,2020-07-19,88.4
Gyeonggi-do,2020-07-20,91.56
Gyeonggi-do,2020-07-21,82.84
Gyeonggi-do,2020-07-22,95.26
